title_id,genre_id,order
tt9623196,4,1
tt9623196,16,2
tt9623196,5,3
tt9623198,4,1
tt9623198,16,2
tt9623198,5,3
tt9623200,4,1
tt9623200,16,2
tt9623200,5,3
tt9623202,4,1
tt9623202,16,2
tt9623202,5,3
tt9623204,4,1
tt9623204,16,2
tt9623204,5,3
tt9623206,4,1
tt9623206,16,2
tt9623206,5,3
tt9623208,4,1
tt9623208,16,2
tt9623208,5,3
tt9623210,4,1
tt9623210,16,2
tt9623210,5,3
tt9623212,4,1
tt9623212,16,2
tt9623212,5,3
tt9623214,4,1
tt9623214,16,2
tt9623214,5,3
tt9623216,4,1
tt9623216,16,2
tt9623216,5,3
tt9623218,4,1
tt9623218,16,2
tt9623218,5,3
tt9623220,5,1
tt9623222,5,1
tt9623224,18,1
tt9623224,17,2
tt9623224,26,3
tt9623226,5,1
tt9623228,5,1
tt9623230,5,1
tt9623234,19,1
tt9623234,20,2
tt9623234,2,3
tt9623236,5,1
tt9623238,17,1
tt9623238,3,2
tt9623238,4,3
tt9623242,5,1
tt9623244,5,1
tt9623246,5,1
tt9623248,5,1
tt9623250,5,1
tt9623252,8,1
tt9623252,2,2
tt9623254,5,1
tt9623256,5,1
tt9623258,11,1
tt9623258,1,2
tt9623258,8,3
tt9623260,5,1
tt9623262,17,1
tt9623262,3,2
tt9623262,4,3
tt9623264,5,1
tt9623266,5,1
tt9623268,12,1
tt9623272,5,1
tt9623276,5,1
tt9623278,5,1
tt9623280,5,1
tt9623282,5,1
tt9623284,5,1
tt9623286,5,1
tt9623288,8,1
tt9623290,5,1
tt9623292,5,1
tt9623294,5,1
tt9623298,4,1
tt9623298,16,2
tt9623298,5,3
tt9623300,4,1
tt9623300,16,2
tt9623300,5,3
tt9623302,4,1
tt9623302,16,2
tt9623302,5,3
tt9623304,4,1
tt9623304,16,2
tt9623304,5,3
tt9623306,4,1
tt9623306,16,2
tt9623306,5,3
tt9623308,4,1
tt9623308,16,2
tt9623308,5,3
tt9623310,4,1
tt9623310,16,2
tt9623310,5,3
tt9623312,4,1
tt9623312,16,2
tt9623312,5,3
tt9623314,4,1
tt9623314,16,2
tt9623314,5,3
tt9623316,4,1
tt9623316,16,2
tt9623316,5,3
tt9623318,4,1
tt9623318,16,2
tt9623318,5,3
tt9623320,4,1
tt9623320,16,2
tt9623320,5,3
tt9623322,4,1
tt9623322,16,2
tt9623322,5,3
tt9623324,4,1
tt9623324,16,2
tt9623324,5,3
tt9623326,4,1
tt9623326,16,2
tt9623326,5,3
tt9623328,4,1
tt9623328,16,2
tt9623328,5,3
tt9623330,4,1
tt9623330,16,2
tt9623330,5,3
tt9623332,4,1
tt9623332,16,2
tt9623332,5,3
tt9623334,8,1
tt9623336,8,1
tt9623338,8,1
tt9623340,8,1
tt9623342,8,1
tt9623344,8,1
tt9623346,4,1
tt9623346,7,2
tt9623348,8,1
tt9623350,8,1
tt9623352,8,1
tt9623354,8,1
tt9623356,7,1
tt9623358,8,1
tt9623360,8,1
tt9623364,17,1
tt9623364,3,2
tt9623364,4,3
tt9623366,4,1
tt9623368,8,1
tt9623370,12,1
tt9623376,1,1
tt9623376,8,2
tt9623376,2,3
tt9623378,8,1
tt9623380,8,1
tt9623382,1,1
tt9623384,8,1
tt9623386,8,1
tt9623388,8,1
tt9623390,8,1
tt9623392,8,1
tt9623394,8,1
tt9623398,8,1
tt9623400,1,1
tt9623400,19,2
tt9623402,1,1
tt9623404,4,1
tt9623406,1,1
tt9623408,8,1
tt9623410,8,1
tt9623412,4,1
tt9623412,9,2
tt9623414,8,1
tt9623416,8,1
tt9623418,8,1
tt9623420,8,1
tt9623422,8,1
tt9623426,8,1
tt9623428,8,1
tt9623430,8,1
tt9623432,8,1
tt9623434,8,1
tt9623436,8,1
tt9623438,8,1
tt9623440,8,1
tt9623442,8,1
tt9623444,8,1
tt9623446,8,1
tt9623448,8,1
tt9623450,8,1
tt9623452,8,1
tt9623458,8,1
tt9623460,8,1
tt9623462,8,1
tt9623464,8,1
tt9623466,8,1
tt9623468,8,1
tt9623470,8,1
tt9623472,8,1
tt9623474,8,1
tt9623480,8,1
tt9623482,8,1
tt9623482,2,2
tt9623484,8,1
tt9623486,8,1
tt9623488,8,1
tt9623490,8,1
tt9623492,8,1
tt9623494,8,1
tt9623496,8,1
tt9623498,8,1
tt9623500,8,1
tt9623502,8,1
tt9623504,12,1
tt9623504,2,2
tt9623506,8,1
tt9623508,8,1
tt9623510,8,1
tt9623512,8,1
tt9623514,8,1
tt9623516,8,1
tt9623518,8,1
tt9623520,8,1
tt9623522,8,1
tt9623524,8,1
tt9623526,8,1
tt9623528,8,1
tt9623530,8,1
tt9623532,8,1
tt9623534,8,1
tt9623536,8,1
tt9623538,3,1
tt9623540,8,1
tt9623542,8,1
tt9623544,8,1
tt9623546,8,1
tt9623550,8,1
tt9623552,8,1
tt9623554,8,1
tt9623556,8,1
tt9623558,8,1
tt9623562,8,1
tt9623564,8,1
tt9623566,8,1
tt9623568,8,1
tt9623570,8,1
tt9623572,8,1
tt9623574,8,1
tt9623576,19,1
tt9623578,8,1
tt9623580,8,1
tt9623582,8,1
tt9623584,8,1
tt9623588,8,1
tt9623590,8,1
tt9623592,8,1
tt9623594,8,1
tt9623600,8,1
tt9623602,8,1
tt9623604,8,1
tt9623606,4,1
tt9623606,16,2
tt9623606,5,3
tt9623608,4,1
tt9623608,16,2
tt9623608,5,3
