talent_id,title_id
nm9878300,tt8495684
nm9878301,tt8495684
nm9878302,tt8495684
nm9878302,tt15299702
nm9878302,tt19850916
nm9878303,tt8495684
nm9878303,tt3283664
nm9878303,tt4769000
nm9878303,tt7286962
nm9878304,tt13562418
nm9878304,tt8495684
nm9878304,tt8694246
nm9878305,tt22806544
nm9878305,tt8495684
nm9878306,tt13286658
nm9878306,tt8495684
nm9878307,tt9471992
nm9878307,tt23791028
nm9878307,tt8495684
nm9878308,tt8495690
nm9878311,tt8329428
nm9878312,tt8329428
nm9878313,tt8329428
nm9878314,tt8329428
nm9878315,tt8329428
nm9878316,tt8329428
nm9878317,tt8329428
nm9878318,tt9251798
nm9878318,tt5651032
nm9878318,tt10834220
nm9878318,tt1526318
nm9878319,tt5651032
nm9878320,tt9472282
nm9878320,tt7367980
nm9878320,tt8334618
nm9878320,tt5651032
nm9878321,tt8495702
nm9878323,tt13064552
nm9878323,tt8118950
nm9878323,tt8360352
nm9878323,tt9032124
nm9878324,tt8118950
nm9878324,tt8360352
nm9878324,tt27005395
nm9878324,tt13064552
nm9878325,tt8118950
nm9878325,tt13064552
nm9878325,tt6231158
nm9878325,tt8360352
nm9878326,tt3608508
nm9878328,tt2279657
nm9878329,tt8495718
nm9878329,tt10380978
nm9878330,tt8495718
nm9878331,tt8495718
nm9878332,tt8495718
nm9878333,tt8495718
nm9878334,tt19869032
nm9878334,tt8495718
nm9878335,tt8495718
nm9878336,tt6362350
nm9878336,tt8495718
nm9878337,tt8495718
nm9878338,tt8495718
nm9878338,tt4964074
nm9878338,tt21060062
nm9878338,tt9294470
nm9878339,tt8495718
nm9878340,tt8495718
nm9878340,tt12072140
nm9878341,tt8495718
nm9878342,tt12049132
nm9878342,tt8495718
nm9878343,tt8495718
nm9878344,tt8495718
nm9878345,tt3483596
nm9878347,tt6086614
nm9878348,tt8495724
nm9878348,tt21862252
nm9878348,tt11777510
nm9878348,tt27852684
nm9878349,tt9066624
nm9878349,tt8495724
nm9878350,tt8718848
nm9878350,tt8495724
nm9878350,tt13279576
nm9878355,tt8495728
nm9878358,tt8495728
nm9878359,tt8495728
nm9878360,tt8495728
nm9878361,tt8549542
nm9878361,tt8495728
nm9878365,tt8495736
nm9878366,tt10449650
nm9878366,tt8495736
nm9878367,tt8495736
nm9878368,tt8495736
nm9878368,tt14351530
nm9878369,tt8495736
nm9878370,tt8495736
nm9878371,tt8495736
nm9878372,tt8495736
nm9878373,tt8495736
nm9878374,tt8495736
nm9878375,tt26670480
nm9878375,tt22182310
nm9878375,tt21605286
nm9878375,tt8811234
nm9878376,tt8495736
nm9878377,tt8495736
nm9878378,tt11554122
nm9878378,tt14667630
nm9878378,tt9055374
nm9878379,tt8495766
nm9878380,tt8495766
nm9878381,tt8495766
nm9878382,tt8495766
nm9878383,tt8495766
nm9878384,tt8495766
nm9878385,tt8495766
nm9878386,tt8495766
nm9878387,tt8495766
nm9878388,tt8495772
nm9878389,tt8495772
nm9878390,tt8495772
nm9878391,tt9199924
nm9878391,tt8495772
nm9878392,tt8495772
nm9878393,tt21966622
nm9878393,tt8495772
nm9878394,tt8495772
nm9878394,tt9326996
nm9878394,tt26349447
nm9878394,tt14615068
nm9878395,tt8495772
nm9878396,tt8495776
nm9878397,tt8495776
nm9878398,tt8495776
nm9878399,tt11614220
nm9878399,tt8703020
nm9878399,tt17770144
nm9878399,tt8406750
nm9878400,tt8495722
nm9878401,tt8495722
nm9878402,tt8495722
nm9878403,tt8495722
nm9878404,tt15134194
nm9878404,tt6473300
nm9878404,tt16499456
nm9878404,tt11153896
nm9878405,tt8495722
nm9878406,tt8495792
